,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
419,deder,0,ET,1513968146,76,9.31,41.44,53.31,4.38
420,sarkand,8,KZ,1513968146,67,45.41,79.91,3.18,2.86
421,bury saint edmunds,,,,,,,,
422,sorland,75,NO,1513965000,86,67.67,12.69,35.6,4.7
423,bundaberg,92,AU,1513968147,99,-24.87,152.35,77.79,5.39
424,shimanovsk,68,RU,1513968148,56,52,127.67,-14.87,2.86
425,aras,0,YE,1513968148,34,14.28,44.38,33.78,3.6
426,kangaatsiaq,8,GL,1513968149,100,68.31,-53.46,11.05,9.53
427,lebu,0,ET,1513968149,86,8.96,38.73,36.93,3.09
428,panguna,92,PG,1513968150,95,-6.32,155.48,72.75,2.59
429,portage,90,US,1513966500,100,42.2,-85.58,37.4,4.5
430,caraubas,48,BR,1513968151,65,-5.79,-37.56,84.18,9.08
431,odweyne,,,,,,,,
432,mastic beach,90,US,1513966500,70,40.77,-72.85,46.4,8.05
433,pozo colorado,36,PY,1513968152,100,-23.49,-58.8,79.32,11.59
434,emba,20,CY,1513967400,60,34.81,32.42,69.8,5.82
435,vangaindrano,92,MG,1513968153,100,-23.35,47.6,68.25,3.04
436,nemuro,0,JP,1513968153,100,43.32,145.57,36.43,13.67
437,raudeberg,75,NO,1513966800,93,61.99,5.14,44.6,19.46
438,nanning,90,CN,1513965600,62,22.83,108.3,59,4.47
439,buraydah,40,SA,1513965600,36,26.33,43.97,64.4,6.93
440,hendijan,,,,,,,,
441,taoudenni,0,ML,1513968155,25,22.68,-3.98,58.75,17.63
442,promyshlennaya,40,RU,1513965600,85,54.92,85.64,12.2,8.95
443,mantalongon,75,PH,1513965600,94,10.13,123.58,78.8,11.41
444,shanghai,68,CN,1513965600,87,31.23,121.49,48.2,6.71
445,borisoglebsk,80,RU,1513968157,82,51.37,42.08,18.57,7.07
446,pervomayskiy,76,RU,1513968157,87,53.24,40.29,22.98,7.4
447,popondetta,80,PG,1513968158,97,-8.77,148.24,67.48,2.08
448,gisborne,92,NZ,1513967961,77,-38.66,178.02,59.88,8.57
449,strezhevoy,40,RU,1513965600,100,60.73,77.6,17.6,4.47
450,butaritari,76,KI,1513968159,100,3.07,172.79,81.21,17.13
451,sechura,0,PE,1513968159,74,-5.56,-80.82,78.78,9.57
452,arkhangelskoye,64,RU,1513968160,85,54.46,37.62,17.4,7.29
453,xai-xai,20,MZ,1513968160,82,-25.04,33.64,81.61,15.95
454,clyde river,75,CA,1513965600,75,70.47,-68.59,-14.81,6.93
455,bosaso,0,SO,1513968161,98,11.28,49.18,76.17,16.84
456,shizuishan,24,CN,1513968161,60,39.02,106.36,2.82,3.04
457,uruguaiana,75,BR,1513965600,88,-29.77,-57.08,77,5.82
458,lima,64,PE,1513968162,72,-12.06,-77.04,70.14,2.86
459,porto novo,75,BR,1513965600,94,-23.68,-45.44,68,3.36
460,fez,0,MA,1513965600,46,34.03,-5.02,53.6,3.36
461,taolanaro,,,,,,,,
462,bahar,40,IR,1513965120,54,34.91,48.44,50,2.24
463,manacapuru,92,BR,1513968163,97,-3.3,-60.62,77.16,3.83
464,souillac,90,FR,1513967400,87,45.6,-0.6,48.2,3.36
465,yichun,76,CN,1513968164,92,27.8,114.38,40.98,2.37
466,oktyabrskoye,88,RU,1513968164,76,56.73,85.44,7.77,4.54
467,sorong,0,ID,1513968165,100,-0.86,131.25,84,2.98
468,taltal,0,CL,1513968165,55,-25.41,-70.49,71.4,5.55
469,tuysarkan,,,,,,,,
470,santa cruz del sur,0,CU,1513968166,68,20.71,-78,83.19,13.94
471,kondinskoye,12,RU,1513968166,95,59.65,67.41,15.46,5.32
472,george,56,NG,1513965600,69,6.63,3.35,82.4,4.7
473,voh,20,NC,1513968167,100,-20.95,164.69,74.41,9.24
474,tambun,75,MY,1513965600,83,4.62,101.14,80.6,5.82
475,kesennuma,,,,,,,,
476,abu jubayhah,,,,,,,,
477,herat,8,AF,1513968168,79,34.35,62.22,38.82,3.49
478,san fernando,0,CL,1513965600,30,-34.58,-70.99,80.6,11.41
479,kitimat,5,CA,1513965600,78,54.02,-128.69,15.8,19.46
480,mahur,12,IN,1513968170,88,25.18,93.12,53.13,1.86
481,palmerston,90,CA,1513966320,85,43.83,-80.85,23,10.29
482,narang,0,PK,1513965600,66,32.43,73.82,53.6,4.7
483,swan hill,8,AU,1513968171,61,-35.34,143.56,60.01,4.61
484,viedma,0,AR,1513968171,24,-40.81,-62.99,80.8,7
485,rurrenabaque,75,BO,1513965600,74,-14.44,-67.53,86,11.41
486,chugunash,,,,,,,,
487,namibe,12,AO,1513968172,100,-15.19,12.15,70.41,12.33
488,mandalgovi,0,MN,1513968172,62,45.76,106.27,8.71,9.8
489,malwan,,,,,,,,
490,lokachi,92,UA,1513968173,95,50.74,24.65,33.78,14.83
491,bafq,20,IR,1513968173,76,31.6,55.4,40.98,2.75
492,afzalpur,0,IN,1513968174,56,17.2,76.36,64.15,9.57
493,hobart,75,AU,1513965600,58,-42.88,147.33,59,4.7
494,jiddah,,,,,,,,
495,rio grande city,1,US,1513966500,54,26.38,-98.82,84.2,21.92
496,honiara,20,SB,1513965600,94,-9.43,159.96,73.4,2.24
497,chengde,0,CN,1513968175,57,40.97,117.93,6.78,2.04
498,florianopolis,40,BR,1513965600,66,-27.6,-48.55,84.2,11.41
499,san cristobal,75,EC,1513965600,59,-0.39,-78.55,66.2,21.92
500,skjervoy,75,NO,1513965000,80,70.03,20.97,35.6,26.4
501,tubmanburg,0,LR,1513968177,53,6.87,-10.82,85.71,3.2
502,zdvinsk,80,RU,1513968178,89,54.7,78.67,11.46,11.03
503,alugan,68,PH,1513968178,100,12.22,125.48,78.24,17.69
504,simpang,75,MY,1513965600,83,4.82,100.71,80.6,5.82
505,karakendzha,,,,,,,,
506,awjilah,76,LY,1513968179,59,29.14,21.3,62.04,13.15
507,ancud,76,CL,1513968180,66,-41.87,-73.83,53.94,10.42
508,ribeira grande,20,PT,1513967400,77,38.52,-28.7,64.4,5.82
509,havoysund,75,NO,1513966800,80,71,24.66,33.8,23.04
510,kishtwar,0,IN,1513968181,40,33.31,75.77,21.63,2.86
511,tonkino,92,RU,1513968181,93,57.37,46.46,23.79,4.05
512,san ramon de la nueva oran,32,AR,1513968182,85,-23.13,-64.33,85.44,4.38
513,stoyba,,,,,,,,
514,takaungu,20,KE,1513968183,75,-3.68,39.86,78.28,9.53
515,panacan,75,PH,1513965600,94,7.15,125.66,77,3.98
516,goba,0,ET,1513968184,70,7.01,39.97,41.61,3.27
517,havelock,90,US,1513967040,100,34.88,-76.9,57.2,3.38
518,huittinen,75,FI,1513966800,92,61.18,22.7,30.2,4.7
519,itaquyry,90,PY,1513965600,100,-24.93,-55.22,73.4,3.36
520,christchurch,44,NZ,1513967400,82,-43.53,172.64,60.8,12.75
521,lata,0,IN,1513968186,51,30.78,78.62,33.78,2.53
522,manokwari,36,ID,1513968187,100,-0.87,134.08,81.57,3.87
523,ixtapa,75,MX,1513964760,69,20.71,-105.21,78.8,2.82
524,yulin,12,CN,1513968188,77,38.3,109.75,13.71,10.76
525,baiyin,80,CN,1513965600,56,36.55,104.13,15.8,2.24
526,acin,,,,,,,,
527,sinnamary,76,GF,1513968189,94,5.38,-52.96,81.25,9.86
528,ust-tsilma,88,RU,1513968189,78,65.44,52.15,25.63,6.89
529,savalou,36,BJ,1513968190,44,7.93,1.98,83.19,4.09
530,hamina,75,FI,1513966800,92,60.57,27.2,30.2,6.93
531,cangzhou,0,CN,1513968191,56,38.3,116.85,20.01,2.98
532,hami,56,CN,1513968191,69,42.84,93.51,11.41,2.98
533,kabwe,8,ZM,1513968191,76,-14.44,28.44,73.11,4.72
534,mananara,,,,,,,,
535,ercis,75,TR,1513965000,98,39.03,43.36,44.6,3.36
536,gevgelija,56,MK,1513968193,87,41.14,22.5,25.45,5.06
537,rawannawi,,,,,,,,
538,nouakchott,56,MR,1513968193,86,18.08,-15.98,70.14,18.19
539,lacolle,90,CA,1513966500,85,45.08,-73.37,15.8,4.7
540,paraiso,75,MX,1513964400,39,24.01,-104.61,64.4,20.8
541,burnie,20,AU,1513968195,99,-41.05,145.91,62.13,14.05
542,saint-philippe,90,CA,1513966500,65,45.36,-73.48,15.8,13.87
543,vanimo,32,PG,1513968196,100,-2.67,141.3,82.83,6.11
544,betsiamites,1,CA,1513965600,50,48.94,-68.65,6.8,12.75
545,marsa matruh,92,EG,1513968197,43,31.35,27.25,68.43,13.38
546,yanan,,,,,,,,
547,nishihara,1,JP,1513965600,80,35.74,139.53,41,4.21
548,cidreira,12,BR,1513968198,76,-30.17,-50.22,81.57,13.38
549,karamay,,,,,,,,
550,bouza,12,NE,1513968199,24,14.42,6.04,79.77,8.01
551,cabatuan,80,PH,1513968199,98,16.95,121.67,71.31,6.11
552,bontang,36,ID,1513968200,100,0.12,117.47,81.25,6.85
553,los algarrobos,40,EC,1513965600,65,-3.25,-79.94,82.4,12.75
554,burica,,,,,,,,
555,saint joseph,90,US,1513965180,86,39.77,-94.85,30.2,10.29
556,nestorion,,,,,,,,
557,tala,90,MX,1513965120,55,20.65,-103.7,66.2,2.3
558,umzimvubu,,,,,,,,
559,vanavara,36,RU,1513968202,80,60.35,102.28,-0.02,3.83
560,comodoro rivadavia,75,AR,1513966200,22,-45.87,-67.48,64.4,14.99
561,njeru,80,UG,1513968203,57,0.43,33.15,75.4,4.76
562,redondo,0,PT,1513965600,66,38.65,-7.55,51.8,1.12
563,goryachegorsk,92,RU,1513968204,70,55.41,88.92,8.13,9.53
564,inderborskiy,,,,,,,,
565,isiro,0,CD,1513968204,48,2.77,27.62,78.1,3.98
566,kizner,88,RU,1513968205,87,56.27,51.51,15.51,6.62
567,jubayl,,,,,,,,
568,manoel urbano,68,BR,1513968205,74,-8.84,-69.26,84.27,3.38
569,basoko,36,CD,1513968206,96,1.23,23.61,73.15,5.06
570,huainan,88,CN,1513968206,84,32.59,117.01,39.13,3.04
571,goma,0,CD,1513968207,100,-1.67,29.23,59.38,1.59
572,mar del plata,76,AR,1513968017,53,-46.43,-67.52,55.51,12.15
573,huescar,12,ES,1513968207,83,37.81,-2.54,33.96,2.3
574,hanstholm,92,DK,1513968208,90,57.12,8.61,44.31,16.62
575,nizwa,0,OM,1513968208,64,22.93,57.53,49.66,4.72
576,kamenka,68,RU,1513968208,94,53.19,44.05,20.95,6.85
577,dzilam gonzalez,0,MX,1513968209,51,21.28,-88.93,85.71,7.85
578,skelleftea,0,SE,1513966800,79,64.75,20.95,24.8,8.05
579,worland,1,US,1513965180,84,44.02,-107.96,12.2,3.04
580,boulder,1,US,1513966200,68,40.02,-105.27,39.2,3.09
581,ruatoria,,,,,,,,
582,qandala,8,SO,1513968211,100,11.47,49.87,63.39,5.06
583,fuyu,0,CN,1513968211,27,47.79,124.46,-13.25,5.21
584,radishchevo,80,RU,1513968211,93,52.85,47.87,18.57,5.61
585,porto-vecchio,0,FR,1513967400,93,41.59,9.28,48.2,3.36
586,hakvik,,,,,,,,
587,marfino,75,RU,1513965600,85,56.07,37.56,23,6.71
588,rocha,56,UY,1513968213,87,-34.48,-54.34,78.28,2.86
589,yulara,0,AU,1513965600,17,-25.24,130.99,77,6.93
590,raga,,,,,,,,
591,yumen,36,CN,1513968214,78,40.29,97.04,15.91,11.03
592,skibbereen,75,IE,1513965600,93,51.55,-9.27,50,8.05
593,vrangel,24,RU,1513968214,100,42.73,133.08,32.79,8.9
594,valley,88,GB,1513965000,100,53.28,-4.56,48.2,8.05
595,gornopravdinsk,88,RU,1513968215,88,60.06,69.92,21.72,6.06
596,shwebo,0,MM,1513968216,82,22.57,95.7,57.18,2.53
597,revelstoke,40,CA,1513965600,73,50.99,-118.19,23,10.29
598,illoqqortoormiut,,,,,,,,
599,coquimbo,75,CL,1513965600,68,-29.95,-71.34,66.2,11.41
